level,chapter,chapter_title,category,unit,status,recycle_route
A2,2,Travel Logistics,Active Core,travel alone,planned,"3, 7, 9, 10, 11, 12."
A2,2,Travel Logistics,Active Core,travel together,planned,"3, 7, 9, 10, 11, 12."
A2,2,Travel Logistics,Topic Vocabulary,booking reference,planned,"3, 7, 9, 10, 11, 12."
A2,2,Travel Logistics,Topic Vocabulary,single ticket,planned,"3, 7, 9, 10, 11, 12."
A2,2,Travel Logistics,Topic Vocabulary,return ticket,planned,"3, 7, 9, 10, 11, 12."
A2,2,Travel Logistics,Topic Vocabulary,boarding pass,planned,"3, 7, 9, 10, 11, 12."
A2,2,Travel Logistics,Topic Vocabulary,departure gate,planned,"3, 7, 9, 10, 11, 12."
A2,2,Travel Logistics,Topic Vocabulary,luggage allowance,planned,"3, 7, 9, 10, 11, 12."
A2,2,Travel Logistics,Topic Vocabulary,hand luggage,planned,"3, 7, 9, 10, 11, 12."
A2,2,Travel Logistics,Topic Vocabulary,overweight,planned,"3, 7, 9, 10, 11, 12."
A2,2,Travel Logistics,Topic Vocabulary,travel insurance,planned,"3, 7, 9, 10, 11, 12."
A2,2,Travel Logistics,Topic Vocabulary,check-out time,planned,"3, 7, 9, 10, 11, 12."
A2,2,Travel Logistics,Topic Vocabulary,twin room,planned,"3, 7, 9, 10, 11, 12."
A2,2,Travel Logistics,Topic Vocabulary,double room,planned,"3, 7, 9, 10, 11, 12."
A2,2,Travel Logistics,Topic Vocabulary,hostel,planned,"3, 7, 9, 10, 11, 12."
A2,2,Travel Logistics,Topic Vocabulary,customs,planned,"3, 7, 9, 10, 11, 12."
A2,2,Travel Logistics,Topic Vocabulary,passport control,planned,"3, 7, 9, 10, 11, 12."
A2,2,Travel Logistics,Topic Vocabulary,information desk,planned,"3, 7, 9, 10, 11, 12."
A2,2,Travel Logistics,Topic Vocabulary,replacement bus,planned,"3, 7, 9, 10, 11, 12."
A2,2,Travel Logistics,Topic Vocabulary,platform change,planned,"3, 7, 9, 10, 11, 12."
A2,2,Travel Logistics,Recognition,terminal,planned,"3, 7, 9, 10, 11, 12."
A2,2,Travel Logistics,Recognition,shuttle,planned,"3, 7, 9, 10, 11, 12."
A2,2,Travel Logistics,Recognition,accommodation,planned,"3, 7, 9, 10, 11, 12."
A2,2,Travel Logistics,Recognition,fully booked,planned,"3, 7, 9, 10, 11, 12."
A2,2,Travel Logistics,Recognition,non-refundable,planned,"3, 7, 9, 10, 11, 12."
A2,2,Travel Logistics,Recognition,aisle seat,planned,"3, 7, 9, 10, 11, 12."
A2,3,"Work, Duties & Schedules",Active Core,duty,planned,"4, 5, 7, 8, 10, 11, 12."
A2,3,"Work, Duties & Schedules",Active Core,task,planned,"4, 5, 7, 8, 10, 11, 12."
A2,3,"Work, Duties & Schedules",Active Core,be responsible for,planned,"4, 5, 7, 8, 10, 11, 12."
A2,3,"Work, Duties & Schedules",Active Core,be in charge of,planned,"4, 5, 7, 8, 10, 11, 12."
A2,3,"Work, Duties & Schedules",Active Core,deadline,planned,"4, 5, 7, 8, 10, 11, 12."
A2,3,"Work, Duties & Schedules",Active Core,on time,planned,"4, 5, 7, 8, 10, 11, 12."
A2,3,"Work, Duties & Schedules",Active Core,overtime,planned,"4, 5, 7, 8, 10, 11, 12."
A2,3,"Work, Duties & Schedules",Active Core,part-time,planned,"4, 5, 7, 8, 10, 11, 12."
A2,3,"Work, Duties & Schedules",Active Core,full-time,planned,"4, 5, 7, 8, 10, 11, 12."
A2,3,"Work, Duties & Schedules",Active Core,colleague,planned,"4, 5, 7, 8, 10, 11, 12."
A2,3,"Work, Duties & Schedules",Active Core,supervisor,planned,"4, 5, 7, 8, 10, 11, 12."
A2,3,"Work, Duties & Schedules",Active Core,staff,planned,"4, 5, 7, 8, 10, 11, 12."
A2,3,"Work, Duties & Schedules",Active Core,customer service,planned,"4, 5, 7, 8, 10, 11, 12."
A2,3,"Work, Duties & Schedules",Active Core,delivery,planned,"4, 5, 7, 8, 10, 11, 12."
A2,3,"Work, Duties & Schedules",Active Core,deliver,planned,"4, 5, 7, 8, 10, 11, 12."
A2,3,"Work, Duties & Schedules",Active Core,order form,planned,"4, 5, 7, 8, 10, 11, 12."
A2,3,"Work, Duties & Schedules",Active Core,stock,planned,"4, 5, 7, 8, 10, 11, 12."
A2,3,"Work, Duties & Schedules",Active Core,run out of,planned,"4, 5, 7, 8, 10, 11, 12."
A2,3,"Work, Duties & Schedules",Active Core,follow a rule,planned,"4, 5, 7, 8, 10, 11, 12."
A2,3,"Work, Duties & Schedules",Active Core,report a problem,planned,"4, 5, 7, 8, 10, 11, 12."
A2,3,"Work, Duties & Schedules",Topic Vocabulary,work experience,planned,"4, 5, 7, 8, 10, 11, 12."
A2,3,"Work, Duties & Schedules",Topic Vocabulary,training day,planned,"4, 5, 7, 8, 10, 11, 12."
A2,3,"Work, Duties & Schedules",Topic Vocabulary,staff room,planned,"4, 5, 7, 8, 10, 11, 12."
A2,3,"Work, Duties & Schedules",Topic Vocabulary,reception desk,planned,"4, 5, 7, 8, 10, 11, 12."
A2,3,"Work, Duties & Schedules",Topic Vocabulary,warehouse,planned,"4, 5, 7, 8, 10, 11, 12."
A2,3,"Work, Duties & Schedules",Topic Vocabulary,delivery note,planned,"4, 5, 7, 8, 10, 11, 12."
A2,3,"Work, Duties & Schedules",Topic Vocabulary,shift change,planned,"4, 5, 7, 8, 10, 11, 12."
A2,3,"Work, Duties & Schedules",Topic Vocabulary,weekly rota,planned,"4, 5, 7, 8, 10, 11, 12."
A2,3,"Work, Duties & Schedules",Topic Vocabulary,name badge,planned,"4, 5, 7, 8, 10, 11, 12."
A2,3,"Work, Duties & Schedules",Topic Vocabulary,safety rule,planned,"4, 5, 7, 8, 10, 11, 12."
A2,3,"Work, Duties & Schedules",Topic Vocabulary,closing time,planned,"4, 5, 7, 8, 10, 11, 12."
A2,3,"Work, Duties & Schedules",Topic Vocabulary,opening time,planned,"4, 5, 7, 8, 10, 11, 12."
A2,3,"Work, Duties & Schedules",Topic Vocabulary,cover a shift,planned,"4, 5, 7, 8, 10, 11, 12."
A2,3,"Work, Duties & Schedules",Topic Vocabulary,take a break,planned,"4, 5, 7, 8, 10, 11, 12."
A2,3,"Work, Duties & Schedules",Topic Vocabulary,answer the phone,planned,"4, 5, 7, 8, 10, 11, 12."
A2,3,"Work, Duties & Schedules",Topic Vocabulary,serve a customer,planned,"4, 5, 7, 8, 10, 11, 12."
A2,3,"Work, Duties & Schedules",Topic Vocabulary,check the stock,planned,"4, 5, 7, 8, 10, 11, 12."
A2,3,"Work, Duties & Schedules",Recognition,probation,planned,"4, 5, 7, 8, 10, 11, 12."
A2,3,"Work, Duties & Schedules",Recognition,supplier,planned,"4, 5, 7, 8, 10, 11, 12."
A2,3,"Work, Duties & Schedules",Recognition,inventory,planned,"4, 5, 7, 8, 10, 11, 12."
A2,3,"Work, Duties & Schedules",Recognition,professional,planned,"4, 5, 7, 8, 10, 11, 12."
A2,3,"Work, Duties & Schedules",Recognition,urgent,planned,"4, 5, 7, 8, 10, 11, 12."
A2,4,Learning & New Skills,Active Core,skill,planned,"5, 6, 8, 10, 11, 12."
A2,4,Learning & New Skills,Active Core,ability,planned,"5, 6, 8, 10, 11, 12."
A2,4,Learning & New Skills,Active Core,beginner,planned,"5, 6, 8, 10, 11, 12."
A2,4,Learning & New Skills,Active Core,instruction,planned,"5, 6, 8, 10, 11, 12."
A2,4,Learning & New Skills,Active Core,explanation,planned,"5, 6, 8, 10, 11, 12."
A2,4,Learning & New Skills,Active Core,demonstrate,planned,"5, 6, 8, 10, 11, 12."
A2,4,Learning & New Skills,Active Core,progress,planned,"5, 6, 8, 10, 11, 12."
A2,4,Learning & New Skills,Active Core,correct a mistake,planned,"5, 6, 8, 10, 11, 12."
A2,4,Learning & New Skills,Active Core,feedback,planned,"5, 6, 8, 10, 11, 12."
A2,4,Learning & New Skills,Active Core,method,planned,"5, 6, 8, 10, 11, 12."
A2,4,Learning & New Skills,Active Core,step by step,planned,"5, 6, 8, 10, 11, 12."
A2,4,Learning & New Skills,Active Core,concentrate,planned,"5, 6, 8, 10, 11, 12."
A2,4,Learning & New Skills,Active Core,succeed,planned,"5, 6, 8, 10, 11, 12."
A2,4,Learning & New Skills,Active Core,fail,planned,"5, 6, 8, 10, 11, 12."
A2,4,Learning & New Skills,Active Core,attempt,planned,"5, 6, 8, 10, 11, 12."
A2,4,Learning & New Skills,Active Core,practise regularly,planned,"5, 6, 8, 10, 11, 12."
A2,4,Learning & New Skills,Active Core,learn from,planned,"5, 6, 8, 10, 11, 12."
A2,4,Learning & New Skills,Active Core,get better at,planned,"5, 6, 8, 10, 11, 12."
A2,4,Learning & New Skills,Topic Vocabulary,driving lesson,planned,"5, 6, 8, 10, 11, 12."
A2,4,Learning & New Skills,Topic Vocabulary,driving test,planned,"5, 6, 8, 10, 11, 12."
A2,4,Learning & New Skills,Topic Vocabulary,recipe,planned,"5, 6, 8, 10, 11, 12."
A2,4,Learning & New Skills,Topic Vocabulary,measurement,planned,"5, 6, 8, 10, 11, 12."
A2,4,Learning & New Skills,Topic Vocabulary,presentation slide,planned,"5, 6, 8, 10, 11, 12."
A2,4,Learning & New Skills,Topic Vocabulary,language exchange,planned,"5, 6, 8, 10, 11, 12."
A2,4,Learning & New Skills,Topic Vocabulary,pronunciation,planned,"5, 6, 8, 10, 11, 12."
A2,4,Learning & New Skills,Topic Vocabulary,spelling rule,planned,"5, 6, 8, 10, 11, 12."
A2,4,Learning & New Skills,Topic Vocabulary,exercise sheet,planned,"5, 6, 8, 10, 11, 12."
A2,4,Learning & New Skills,Topic Vocabulary,training video,planned,"5, 6, 8, 10, 11, 12."
A2,4,Learning & New Skills,Topic Vocabulary,practical test,planned,"5, 6, 8, 10, 11, 12."
A2,4,Learning & New Skills,Topic Vocabulary,study plan,planned,"5, 6, 8, 10, 11, 12."
A2,4,Learning & New Skills,Topic Vocabulary,learning goal,planned,"5, 6, 8, 10, 11, 12."
A2,4,Learning & New Skills,Topic Vocabulary,take notes,planned,"5, 6, 8, 10, 11, 12."
A2,4,Learning & New Skills,Topic Vocabulary,ask for feedback,planned,"5, 6, 8, 10, 11, 12."
A2,4,Learning & New Skills,Topic Vocabulary,try again,planned,"5, 6, 8, 10, 11, 12."
A2,4,Learning & New Skills,Recognition,advanced,planned,"5, 6, 8, 10, 11, 12."
A2,4,Learning & New Skills,Recognition,patient instructor,planned,"5, 6, 8, 10, 11, 12."
A2,4,Learning & New Skills,Recognition,technique,planned,"5, 6, 8, 10, 11, 12."
A2,4,Learning & New Skills,Recognition,theory,planned,"5, 6, 8, 10, 11, 12."
A2,4,Learning & New Skills,Recognition,achievement,planned,"5, 6, 8, 10, 11, 12."
A2,5,"Friends, Feelings & Support",Active Core,relationship,planned,"6, 7, 8, 10, 11, 12."
A2,5,"Friends, Feelings & Support",Active Core,trust,planned,"6, 7, 8, 10, 11, 12."
A2,5,"Friends, Feelings & Support",Active Core,respect,planned,"6, 7, 8, 10, 11, 12."
A2,5,"Friends, Feelings & Support",Active Core,support,planned,"6, 7, 8, 10, 11, 12."
A2,5,"Friends, Feelings & Support",Active Core,encourage,planned,"6, 7, 8, 10, 11, 12."
A2,5,"Friends, Feelings & Support",Active Core,argument,planned,"6, 7, 8, 10, 11, 12."
A2,5,"Friends, Feelings & Support",Active Core,disagree,planned,"6, 7, 8, 10, 11, 12."
A2,5,"Friends, Feelings & Support",Active Core,agreement,planned,"6, 7, 8, 10, 11, 12."
A2,5,"Friends, Feelings & Support",Active Core,misunderstanding,planned,"6, 7, 8, 10, 11, 12."
A2,5,"Friends, Feelings & Support",Active Core,explain yourself,planned,"6, 7, 8, 10, 11, 12."
A2,5,"Friends, Feelings & Support",Active Core,tell the truth,planned,"6, 7, 8, 10, 11, 12."
A2,5,"Friends, Feelings & Support",Active Core,keep a secret,planned,"6, 7, 8, 10, 11, 12."
A2,5,"Friends, Feelings & Support",Active Core,calm down,planned,"6, 7, 8, 10, 11, 12."
A2,5,"Friends, Feelings & Support",Active Core,cheer up,planned,"6, 7, 8, 10, 11, 12."
A2,5,"Friends, Feelings & Support",Active Core,get along with,planned,"6, 7, 8, 10, 11, 12."
A2,5,"Friends, Feelings & Support",Active Core,be there for,planned,"6, 7, 8, 10, 11, 12."
A2,5,"Friends, Feelings & Support",Active Core,feel left out,planned,"6, 7, 8, 10, 11, 12."
A2,5,"Friends, Feelings & Support",Active Core,make peace,planned,"6, 7, 8, 10, 11, 12."
A2,5,"Friends, Feelings & Support",Topic Vocabulary,cancel a plan,planned,"6, 7, 8, 10, 11, 12."
A2,5,"Friends, Feelings & Support",Topic Vocabulary,change your mind,planned,"6, 7, 8, 10, 11, 12."
A2,5,"Friends, Feelings & Support",Topic Vocabulary,keep a promise,planned,"6, 7, 8, 10, 11, 12."
A2,5,"Friends, Feelings & Support",Topic Vocabulary,break a promise,planned,"6, 7, 8, 10, 11, 12."
A2,5,"Friends, Feelings & Support",Topic Vocabulary,give someone space,planned,"6, 7, 8, 10, 11, 12."
A2,5,"Friends, Feelings & Support",Topic Vocabulary,ask for help,planned,"6, 7, 8, 10, 11, 12."
A2,5,"Friends, Feelings & Support",Topic Vocabulary,offer help,planned,"6, 7, 8, 10, 11, 12."
A2,5,"Friends, Feelings & Support",Topic Vocabulary,share a problem,planned,"6, 7, 8, 10, 11, 12."
A2,5,"Friends, Feelings & Support",Topic Vocabulary,solve an argument,planned,"6, 7, 8, 10, 11, 12."
A2,5,"Friends, Feelings & Support",Topic Vocabulary,hurt someone's feelings,planned,"6, 7, 8, 10, 11, 12."
A2,5,"Friends, Feelings & Support",Topic Vocabulary,apologise for,planned,"6, 7, 8, 10, 11, 12."
A2,5,"Friends, Feelings & Support",Topic Vocabulary,forgive someone,planned,"6, 7, 8, 10, 11, 12."
A2,5,"Friends, Feelings & Support",Topic Vocabulary,worry about,planned,"6, 7, 8, 10, 11, 12."
A2,5,"Friends, Feelings & Support",Topic Vocabulary,depend on,planned,"6, 7, 8, 10, 11, 12."
A2,5,"Friends, Feelings & Support",Topic Vocabulary,invite someone along,planned,"6, 7, 8, 10, 11, 12."
A2,5,"Friends, Feelings & Support",Recognition,jealous,planned,"6, 7, 8, 10, 11, 12."
A2,5,"Friends, Feelings & Support",Recognition,sensitive,planned,"6, 7, 8, 10, 11, 12."
A2,5,"Friends, Feelings & Support",Recognition,private matter,planned,"6, 7, 8, 10, 11, 12."
A2,5,"Friends, Feelings & Support",Recognition,uncomfortable,planned,"6, 7, 8, 10, 11, 12."
A2,5,"Friends, Feelings & Support",Recognition,supportive,planned,"6, 7, 8, 10, 11, 12."
A2,6,Healthy Choices,Active Core,habit,planned,"7, 8, 9, 10, 12."
A2,6,Healthy Choices,Active Core,healthy,planned,"7, 8, 9, 10, 12."
A2,6,Healthy Choices,Active Core,unhealthy,planned,"7, 8, 9, 10, 12."
A2,6,Healthy Choices,Active Core,balanced,planned,"7, 8, 9, 10, 12."
A2,6,Healthy Choices,Active Core,avoid,planned,"7, 8, 9, 10, 12."
A2,6,Healthy Choices,Active Core,reduce,planned,"7, 8, 9, 10, 12."
A2,6,Healthy Choices,Active Core,increase,planned,"7, 8, 9, 10, 12."
A2,6,Healthy Choices,Active Core,enough sleep,planned,"7, 8, 9, 10, 12."
A2,6,Healthy Choices,Active Core,stay active,planned,"7, 8, 9, 10, 12."
A2,6,Healthy Choices,Active Core,exercise regularly,planned,"7, 8, 9, 10, 12."
A2,6,Healthy Choices,Active Core,diet,planned,"7, 8, 9, 10, 12."
A2,6,Healthy Choices,Active Core,meal plan,planned,"7, 8, 9, 10, 12."
A2,6,Healthy Choices,Active Core,portion,planned,"7, 8, 9, 10, 12."
A2,6,Healthy Choices,Active Core,check-up,planned,"7, 8, 9, 10, 12."
A2,6,Healthy Choices,Active Core,treatment,planned,"7, 8, 9, 10, 12."
A2,6,Healthy Choices,Active Core,recover,planned,"7, 8, 9, 10, 12."
A2,6,Healthy Choices,Active Core,feel better,planned,"7, 8, 9, 10, 12."
A2,6,Healthy Choices,Active Core,feel worse,planned,"7, 8, 9, 10, 12."
A2,6,Healthy Choices,Topic Vocabulary,sleep routine,planned,"7, 8, 9, 10, 12."
A2,6,Healthy Choices,Topic Vocabulary,screen time,planned,"7, 8, 9, 10, 12."
A2,6,Healthy Choices,Topic Vocabulary,packed lunch,planned,"7, 8, 9, 10, 12."
A2,6,Healthy Choices,Topic Vocabulary,food label,planned,"7, 8, 9, 10, 12."
A2,6,Healthy Choices,Topic Vocabulary,fresh food,planned,"7, 8, 9, 10, 12."
A2,6,Healthy Choices,Topic Vocabulary,sugary drink,planned,"7, 8, 9, 10, 12."
A2,6,Healthy Choices,Topic Vocabulary,dental care,planned,"7, 8, 9, 10, 12."
A2,6,Healthy Choices,Topic Vocabulary,dentist,planned,"7, 8, 9, 10, 12."
A2,6,Healthy Choices,Topic Vocabulary,toothache,planned,"7, 8, 9, 10, 12."
A2,6,Healthy Choices,Topic Vocabulary,swimming pool,planned,"7, 8, 9, 10, 12."
A2,6,Healthy Choices,Topic Vocabulary,warm-up,planned,"7, 8, 9, 10, 12."
A2,6,Healthy Choices,Topic Vocabulary,exercise class,planned,"7, 8, 9, 10, 12."
A2,6,Healthy Choices,Topic Vocabulary,health diary,planned,"7, 8, 9, 10, 12."
A2,6,Healthy Choices,Topic Vocabulary,daily step count,planned,"7, 8, 9, 10, 12."
A2,6,Healthy Choices,Topic Vocabulary,make an appointment,planned,"7, 8, 9, 10, 12."
A2,6,Healthy Choices,Topic Vocabulary,follow advice,planned,"7, 8, 9, 10, 12."
A2,6,Healthy Choices,Recognition,nutrition,planned,"7, 8, 9, 10, 12."
A2,6,Healthy Choices,Recognition,stress,planned,"7, 8, 9, 10, 12."
A2,6,Healthy Choices,Recognition,recovery,planned,"7, 8, 9, 10, 12."
A2,6,Healthy Choices,Recognition,energy level,planned,"7, 8, 9, 10, 12."
A2,6,Healthy Choices,Recognition,medical history,planned,"7, 8, 9, 10, 12."
A2,6,Healthy Choices,Recognition,allergic,planned,"7, 8, 9, 10, 12."
A2,7,"Services, Repairs & Complaints",Active Core,service,planned,"8, 9, 10, 11, 12."
A2,7,"Services, Repairs & Complaints",Active Core,repair,planned,"8, 9, 10, 11, 12."
A2,7,"Services, Repairs & Complaints",Active Core,damaged,planned,"8, 9, 10, 11, 12."
A2,7,"Services, Repairs & Complaints",Active Core,fault,planned,"8, 9, 10, 11, 12."
A2,7,"Services, Repairs & Complaints",Active Core,work properly,planned,"8, 9, 10, 11, 12."
A2,7,"Services, Repairs & Complaints",Active Core,complain,planned,"8, 9, 10, 11, 12."
A2,7,"Services, Repairs & Complaints",Active Core,complaint,planned,"8, 9, 10, 11, 12."
A2,7,"Services, Repairs & Complaints",Active Core,request,planned,"8, 9, 10, 11, 12."
A2,7,"Services, Repairs & Complaints",Active Core,refund,planned,"8, 9, 10, 11, 12."
A2,7,"Services, Repairs & Complaints",Active Core,guarantee,planned,"8, 9, 10, 11, 12."
A2,7,"Services, Repairs & Complaints",Active Core,warranty,planned,"8, 9, 10, 11, 12."
A2,7,"Services, Repairs & Complaints",Active Core,replace an item,planned,"8, 9, 10, 11, 12."
A2,7,"Services, Repairs & Complaints",Active Core,return an item,planned,"8, 9, 10, 11, 12."
A2,7,"Services, Repairs & Complaints",Active Core,repair cost,planned,"8, 9, 10, 11, 12."
A2,7,"Services, Repairs & Complaints",Active Core,service desk,planned,"8, 9, 10, 11, 12."
A2,7,"Services, Repairs & Complaints",Active Core,customer rights,planned,"8, 9, 10, 11, 12."
A2,7,"Services, Repairs & Complaints",Active Core,solve a problem,planned,"8, 9, 10, 11, 12."
A2,7,"Services, Repairs & Complaints",Active Core,polite complaint,planned,"8, 9, 10, 11, 12."
A2,7,"Services, Repairs & Complaints",Topic Vocabulary,receipt number,planned,"8, 9, 10, 11, 12."
A2,7,"Services, Repairs & Complaints",Topic Vocabulary,order number,planned,"8, 9, 10, 11, 12."
A2,7,"Services, Repairs & Complaints",Topic Vocabulary,model number,planned,"8, 9, 10, 11, 12."
A2,7,"Services, Repairs & Complaints",Topic Vocabulary,broken screen,planned,"8, 9, 10, 11, 12."
A2,7,"Services, Repairs & Complaints",Topic Vocabulary,water pressure,planned,"8, 9, 10, 11, 12."
A2,7,"Services, Repairs & Complaints",Topic Vocabulary,bicycle tyre,planned,"8, 9, 10, 11, 12."
A2,7,"Services, Repairs & Complaints",Topic Vocabulary,spare part,planned,"8, 9, 10, 11, 12."
A2,7,"Services, Repairs & Complaints",Topic Vocabulary,package delivery,planned,"8, 9, 10, 11, 12."
A2,7,"Services, Repairs & Complaints",Topic Vocabulary,wrong address,planned,"8, 9, 10, 11, 12."
A2,7,"Services, Repairs & Complaints",Topic Vocabulary,missing item,planned,"8, 9, 10, 11, 12."
A2,7,"Services, Repairs & Complaints",Topic Vocabulary,repair shop,planned,"8, 9, 10, 11, 12."
A2,7,"Services, Repairs & Complaints",Topic Vocabulary,service appointment,planned,"8, 9, 10, 11, 12."
A2,7,"Services, Repairs & Complaints",Topic Vocabulary,written complaint,planned,"8, 9, 10, 11, 12."
A2,7,"Services, Repairs & Complaints",Topic Vocabulary,contact form,planned,"8, 9, 10, 11, 12."
A2,7,"Services, Repairs & Complaints",Topic Vocabulary,proof of purchase,planned,"8, 9, 10, 11, 12."
A2,7,"Services, Repairs & Complaints",Topic Vocabulary,pay for a repair,planned,"8, 9, 10, 11, 12."
A2,7,"Services, Repairs & Complaints",Recognition,technician,planned,"8, 9, 10, 11, 12."
A2,7,"Services, Repairs & Complaints",Recognition,defect,planned,"8, 9, 10, 11, 12."
A2,7,"Services, Repairs & Complaints",Recognition,policy,planned,"8, 9, 10, 11, 12."
A2,7,"Services, Repairs & Complaints",Recognition,inspection,planned,"8, 9, 10, 11, 12."
A2,7,"Services, Repairs & Complaints",Recognition,labour charge,planned,"8, 9, 10, 11, 12."
A2,7,"Services, Repairs & Complaints",Recognition,manufacturer,planned,"8, 9, 10, 11, 12."
A2,8,Technology & Everyday Media,Active Core,account,planned,"9, 10, 11, 12."
A2,8,Technology & Everyday Media,Active Core,password,planned,"9, 10, 11, 12."
A2,8,Technology & Everyday Media,Active Core,username,planned,"9, 10, 11, 12."
A2,8,Technology & Everyday Media,Active Core,log in,planned,"9, 10, 11, 12."
A2,8,Technology & Everyday Media,Active Core,sign up,planned,"9, 10, 11, 12."
A2,8,Technology & Everyday Media,Active Core,upload,planned,"9, 10, 11, 12."
A2,8,Technology & Everyday Media,Active Core,update,planned,"9, 10, 11, 12."
A2,8,Technology & Everyday Media,Active Core,install,planned,"9, 10, 11, 12."
A2,8,Technology & Everyday Media,Active Core,app,planned,"9, 10, 11, 12."
A2,8,Technology & Everyday Media,Active Core,notification,planned,"9, 10, 11, 12."
A2,8,Technology & Everyday Media,Active Core,privacy,planned,"9, 10, 11, 12."
A2,8,Technology & Everyday Media,Active Core,public,planned,"9, 10, 11, 12."
A2,8,Technology & Everyday Media,Active Core,private,planned,"9, 10, 11, 12."
A2,8,Technology & Everyday Media,Active Core,share a post,planned,"9, 10, 11, 12."
